# Region type :  patch inlet
# Faces          : 70
# Area           : 9.8000000000e-03
# Scale factor   : 1.0000000000e+00
# Time           	sum(phi)
0.000120005      	-3.9648692890e-02
0.000264017      	-3.9738724538e-02
0.000436833      	-3.9829682430e-02
0.000644211      	-3.9833383017e-02
0.000893055      	-3.9826705440e-02
0.00119165       	-3.9814168960e-02
0.0015499        	-3.9771626313e-02
0.00197972       	-3.9657972143e-02
0.00249549       	-3.9466326356e-02
0.00311429       	-3.9268829436e-02
0.00385657       	-3.9157757125e-02
0.00474757       	-3.9185320134e-02
0.00581659       	-3.9271394627e-02
0.00709941       	-3.9320148626e-02
0.00863879       	-3.9310604724e-02
0.0104849        	-3.9294671889e-02
0.0126986        	-3.9299985633e-02
0.0153526        	-3.9306229791e-02
0.0185085        	-3.9304507956e-02
0.0221708        	-3.9301249101e-02
0.0263318        	-3.9298977786e-02
0.0309905        	-3.9297133715e-02
0.0360374        	-3.9294903035e-02
0.0410843        	-3.9292799431e-02
0.046158         	-3.9290301091e-02
0.0512316        	-3.9288273422e-02
0.0563052        	-3.9285696839e-02
0.0613789        	-3.9283423783e-02
0.0664525        	-3.9280772736e-02
0.0715261        	-3.9278490654e-02
0.0765997        	-3.9275817780e-02
0.0816734        	-3.9273527395e-02
0.086747         	-3.9270845271e-02
0.0918206        	-3.9268545941e-02
0.0968942        	-3.9265877471e-02
0.101968         	-3.9263565453e-02
0.107042         	-3.9260929753e-02
0.112115         	-3.9258586295e-02
0.117189         	-3.9255978719e-02
0.122262         	-3.9253597046e-02
0.127336         	-3.9251018130e-02
0.13238          	-3.9248616516e-02
0.137425         	-3.9246073775e-02
0.142469         	-3.9243641717e-02
0.147513         	-3.9241112653e-02
0.152558         	-3.9238661271e-02
0.157602         	-3.9236135481e-02
0.162646         	-3.9233667956e-02
0.16769          	-3.9231147350e-02
0.172735         	-3.9228670635e-02
0.177779         	-3.9226150554e-02
0.182823         	-3.9223665151e-02
0.187868         	-3.9221148111e-02
0.192912         	-3.9218656911e-02
0.197956         	-3.9216143364e-02
0.203001         	-3.9213647638e-02
0.208045         	-3.9211136235e-02
0.213089         	-3.9208639979e-02
0.218133         	-3.9206127846e-02
0.223178         	-3.9203630711e-02
0.228222         	-3.9201120237e-02
0.233266         	-3.9198622433e-02
0.238311         	-3.9196114395e-02
0.243355         	-3.9193615725e-02
0.248399         	-3.9191109281e-02
0.253444         	-3.9188610543e-02
0.258488         	-3.9186105444e-02
0.263532         	-3.9183607093e-02
0.268576         	-3.9181103349e-02
0.273621         	-3.9178605528e-02
0.278665         	-3.9176102770e-02
0.283709         	-3.9173605615e-02
0.288754         	-3.9171103775e-02
0.293798         	-3.9168607127e-02
0.298842         	-3.9166106237e-02
0.303887         	-3.9163612565e-02
0.308931         	-3.9161108833e-02
0.313975         	-3.9158612748e-02
0.319019         	-3.9156112908e-02
0.324064         	-3.9153618815e-02
