# Field minima and maxima
# Time       	field        	min          	location(min)	processor    	max          	location(max)	processor    
0.0011976    	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	1.000000e-01	(-7.333707e-03 -7.333707e-03 0.000000e+00)	0
0.0026382    	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	1.000000e-01	(-7.333707e-03 -7.333707e-03 0.000000e+00)	0
0.00436945   	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	1.000000e-01	(-7.333707e-03 -7.333707e-03 0.000000e+00)	0
0.00645062   	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	1.000000e-01	(-7.333707e-03 -7.333707e-03 0.000000e+00)	0
0.00893202   	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	1.000000e-01	(-7.333707e-03 -7.333707e-03 0.000000e+00)	0
0.0119175    	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	1.000000e-01	(-7.333707e-03 -7.333707e-03 0.000000e+00)	0
0.0154662    	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	1.000000e-01	(-7.333707e-03 -7.333707e-03 0.000000e+00)	0
0.0197577    	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	1.000000e-01	(-7.333707e-03 -7.333707e-03 0.000000e+00)	0
0.0249075    	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	1.000000e-01	(-7.333707e-03 -7.333707e-03 0.000000e+00)	0
0.0311608    	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	1.000000e-01	(-7.333707e-03 -7.333707e-03 0.000000e+00)	0
0.0385016    	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	1.000000e-01	(-7.333707e-03 -7.333707e-03 0.000000e+00)	0
0.0474737    	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	1.000000e-01	(-7.333707e-03 -7.333707e-03 0.000000e+00)	0
0.0583685    	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	1.000000e-01	(-7.333707e-03 -7.333707e-03 0.000000e+00)	0
0.0712441    	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	1.000000e-01	(-7.333707e-03 -7.333707e-03 0.000000e+00)	0
0.0873385    	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	1.000000e-01	(-7.333707e-03 -7.333707e-03 0.000000e+00)	0
0.106115     	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	1.000000e-01	(-7.333707e-03 -7.333707e-03 0.000000e+00)	0
0.129587     	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	3.415638e-01	(-1.388920e-02 1.168871e-02 5.956500e-01)	3
0.14719      	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	7.683052e-01	(-1.388920e-02 1.168871e-02 5.956500e-01)	3
0.154734     	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	3.265001e-01	(-1.788527e-02 1.467634e-02 5.956500e-01)	3
0.163787     	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	5.116606e-01	(-1.467634e-02 1.788527e-02 5.956500e-01)	3
0.175858     	U            	0.000000e+00	(-1.100056e-02 -1.100056e-02 0.000000e+00)	0	3.943280e-01	(1.388920e-02 1.168871e-02 5.956500e-01)	3
