# Field minima and maxima
# Time           	min(p)           	max(p)           
0.00120481928    	1.0000000000e+05	1.0780756197e+05
0.00220481928    	1.0000000000e+05	1.0988710292e+05
0.00320481928    	1.0000000000e+05	1.1017842061e+05
0.00420481928    	1.0000000000e+05	1.0957515558e+05
0.00520481928    	1.0000000000e+05	1.0929597698e+05
0.00620481928    	1.0000000000e+05	1.0924648686e+05
0.00720481928    	1.0000000000e+05	1.0935540764e+05
0.00820481928    	1.0000000000e+05	1.0938317765e+05
0.00920481928    	1.0000000000e+05	1.0941183260e+05
0.0102048193     	1.0000000000e+05	1.0938599340e+05
0.0112048193     	1.0000000000e+05	1.0939665684e+05
0.0122048193     	1.0000000000e+05	1.0938310447e+05
0.0132048193     	1.0000000000e+05	1.0939820533e+05
0.0142048193     	1.0000000000e+05	1.0938895345e+05
0.0152048193     	1.0000000000e+05	1.0940013584e+05
0.0162048193     	1.0000000000e+05	1.0939144560e+05
0.0172048193     	1.0000000000e+05	1.0940025047e+05
0.0182048193     	1.0000000000e+05	1.0939308005e+05
0.0192048193     	1.0000000000e+05	1.0940048211e+05
0.0202048193     	1.0000000000e+05	1.0939447249e+05
0.0212048193     	1.0000000000e+05	1.0940062200e+05
0.0222048193     	1.0000000000e+05	1.0939549754e+05
0.0232048193     	1.0000000000e+05	1.0940064795e+05
0.0242048193     	1.0000000000e+05	1.0939628046e+05
0.0252048193     	1.0000000000e+05	1.0940062698e+05
0.0262048193     	1.0000000000e+05	1.0939689418e+05
0.0272048193     	1.0000000000e+05	1.0940057501e+05
0.0282048193     	1.0000000000e+05	1.0939737710e+05
0.0292048193     	1.0000000000e+05	1.0940050405e+05
0.0302048193     	1.0000000000e+05	1.0939776105e+05
0.0312048193     	1.0000000000e+05	1.0940042410e+05
0.0322048193     	1.0000000000e+05	1.0939806915e+05
0.0332048193     	1.0000000000e+05	1.0940034129e+05
0.0342048193     	1.0000000000e+05	1.0939831821e+05
0.0352048193     	1.0000000000e+05	1.0940025960e+05
0.0362048193     	1.0000000000e+05	1.0939852093e+05
0.0372048193     	1.0000000000e+05	1.0940018158e+05
0.0382048193     	1.0000000000e+05	1.0939868698e+05
0.0392048193     	1.0000000000e+05	1.0940010870e+05
0.0402048193     	1.0000000000e+05	1.0939882373e+05
0.0412048193     	1.0000000000e+05	1.0940004175e+05
0.0422048193     	1.0000000000e+05	1.0939893692e+05
0.0432048193     	1.0000000000e+05	1.0939998099e+05
0.0442048193     	1.0000000000e+05	1.0939903104e+05
0.0452048193     	1.0000000000e+05	1.0939992637e+05
0.0462048193     	1.0000000000e+05	1.0939910960e+05
0.0472048193     	1.0000000000e+05	1.0939987766e+05
0.0482048193     	1.0000000000e+05	1.0939917541e+05
0.0492048193     	1.0000000000e+05	1.0939983447e+05
0.0502048193     	1.0000000000e+05	1.0939923071e+05
0.0512048193     	1.0000000000e+05	1.0939979638e+05
0.0522048193     	1.0000000000e+05	1.0939927733e+05
0.0532048193     	1.0000000000e+05	1.0939976292e+05
0.0542048193     	1.0000000000e+05	1.0939931670e+05
0.0552048193     	1.0000000000e+05	1.0939973362e+05
0.0562048193     	1.0000000000e+05	1.0939935005e+05
0.0572048193     	1.0000000000e+05	1.0939970805e+05
0.0582048193     	1.0000000000e+05	1.0939937833e+05
0.0592048193     	1.0000000000e+05	1.0939968577e+05
